"work_year","experience_level","employment_type","job_title","job_category","salary_in_usd","employee_residence","company_location","company_size"
"2020","MI","FT","Data Analyst","Data Analyst",46759,"FR","FR","L"
"2020","MI","FT","Data Engineer","Data Engineer",74130,"AT","AT","L"
"2020","MI","FT","Data Science Consultant","Data Scientist",103000,"US","US","L"
"2020","EN","FT","Machine Learning Engineer","ML Engineer",250000,"US","US","L"
"2020","EN","FT","Data Analyst","Data Analyst",10000,"NG","NG","S"
"2020","EN","FT","Machine Learning Engineer","ML Engineer",138000,"US","US","S"
"2020","MI","FT","Data Scientist","Data Scientist",45760,"PH","US","S"
"2020","EX","FT","Data Engineering Manager","Data Engineer",79833,"ES","ES","L"
"2020","MI","FT","Machine Learning Infrastructure Engineer","ML Engineer",50180,"PT","PT","M"
"2020","MI","FT","Data Engineer","Data Engineer",106000,"US","US","L"
"2020","MI","FT","Data Engineer","Data Engineer",112872,"GB","GB","L"
"2020","EN","PT","ML Engineer","ML Engineer",15966,"DE","DE","S"
"2020","MI","FT","Data Scientist","Data Scientist",76958,"GB","GB","S"
"2020","SE","FT","Data Engineer","Data Engineer",188000,"US","US","L"
"2020","MI","FT","Data Scientist","Data Scientist",105000,"US","US","L"
"2020","MI","FT","Data Engineer","Data Engineer",70139,"FR","FR","L"
"2020","EN","FT","Data Analyst","Data Analyst",6072,"IN","IN","S"
"2020","EN","FT","Data Analyst","Data Analyst",91000,"US","US","L"
"2020","EN","FT","AI Scientist","AI Engineer",45896,"DK","DK","S"
"2020","EN","FT","Data Engineer","Data Engineer",54742,"PK","DE","L"
"2020","SE","FL","Computer Vision Engineer","ML Engineer",60000,"RU","US","S"
"2020","SE","FT","Principal Data Scientist","Data Scientist",148261,"DE","DE","M"
"2020","MI","FT","Data Scientist","Data Scientist",38776,"ES","ES","M"
"2020","MI","FT","Data Scientist","Data Scientist",118000,"US","US","M"
"2020","SE","FT","Data Scientist","Data Scientist",120000,"US","US","L"
"2020","MI","FT","Data Scientist","Data Scientist",138350,"US","US","M"
"2020","MI","FT","Data Engineer","Data Engineer",110000,"US","US","L"
"2020","MI","FT","Data Engineer","Data Engineer",130800,"ES","US","M"
"2020","EN","PT","Data Scientist","Data Scientist",21669,"IT","IT","S"
"2020","SE","FT","Data Scientist","Data Scientist",412000,"US","US","L"
"2020","SE","FT","Machine Learning Engineer","ML Engineer",45618,"HR","HR","S"
"2020","EN","FT","Data Scientist","Data Scientist",62726,"DE","DE","S"
"2020","EN","FT","Data Scientist","Data Scientist",49268,"DE","DE","S"
"2020","SE","FT","Data Science Manager","Data Scientist",190200,"US","US","M"
"2020","EN","FT","Data Scientist","Data Scientist",105000,"US","US","S"
"2020","SE","FT","Data Scientist","Data Scientist",91237,"AT","AT","S"
"2020","MI","FT","Data Scientist","Data Scientist",62726,"FR","LU","S"
"2020","MI","FT","Data Scientist","Data Scientist",42197,"FR","FR","S"
"2020","EX","FT","Staff Data Analyst","Data Analyst",15000,"NG","CA","M"
"2020","MI","FT","Business Data Analyst","BI Analyst",95000,"US","US","M"
"2020","EN","FT","Data Engineer","Data Engineer",13493,"IN","IN","L"
"2020","EN","FT","Data Analyst","Data Analyst",22809,"PT","PT","M"
"2020","MI","FT","Data Engineer","Data Engineer",59303,"DE","DE","S"
"2020","EX","FT","Data Engineer","Data Engineer",79833,"ES","ES","L"
"2020","SE","FT","Staff Data Scientist","Data Scientist",164000,"US","US","M"
"2020","EN","FT","Data Analyst","Data Analyst",47899,"DE","DE","L"
"2020","EX","FT","Managing Director Data Science","Data Scientist",300000,"US","US","L"
"2020","MI","CT","Sales Data Analyst","Data Analyst",60000,"NG","NG","M"
"2021","EN","FT","Research Scientist","Research Scientist",82528,"GB","GB","L"
"2021","EX","FT","BI Data Analyst","BI Analyst",150000,"IN","US","L"
"2021","EX","FT","Head of Data","Data Scientist",235000,"US","US","L"
"2021","SE","FT","Data Scientist","Data Scientist",53192,"FR","FR","L"
"2021","MI","FT","BI Data Analyst","BI Analyst",100000,"US","US","M"
"2021","MI","PT","3D Computer Vision Researcher","Research Scientist",5409,"IN","IN","M"
"2021","MI","CT","ML Engineer","ML Engineer",270000,"US","US","L"
"2021","EN","FT","Data Analyst","Data Analyst",80000,"US","US","M"
"2021","SE","FT","Data Analytics Engineer","Data Analyst",79197,"DE","DE","L"
"2021","MI","FT","Data Engineer","Data Engineer",140000,"US","US","L"
"2021","MI","FT","Applied Data Scientist","Data Scientist",54238,"GB","CA","L"
"2021","MI","FT","Machine Learning Engineer","ML Engineer",47282,"ES","ES","S"
"2021","EX","FT","Director of Data Science","Data Scientist",153667,"IT","PL","L"
"2021","MI","FT","Data Engineer","Data Engineer",28476,"PL","PL","L"
"2021","EN","FT","Data Analyst","Data Analyst",59102,"FR","FR","M"
"2021","MI","FT","Data Analytics Engineer","Data Analyst",110000,"US","US","L"
"2021","SE","FT","Lead Data Analyst","Data Analyst",170000,"US","US","L"
"2021","SE","FT","Data Analyst","Data Analyst",80000,"BG","US","S"
"2021","SE","FT","Marketing Data Analyst","Data Analyst",88654,"GR","DK","L"
"2021","EN","FT","Data Science Consultant","Data Scientist",76833,"DE","DE","S"
"2021","MI","FT","Lead Data Analyst","Data Analyst",19609,"IN","IN","L"
"2021","SE","FT","Lead Data Engineer","Data Engineer",276000,"US","US","L"
"2021","EN","FT","Data Scientist","Data Scientist",29751,"IN","IN","L"
"2021","MI","FT","Cloud Data Engineer","Data Engineer",89294,"SG","SG","L"
"2021","EN","PT","AI Scientist","AI Engineer",12000,"BR","US","S"
"2021","MI","FT","Financial Data Analyst","Data Analyst",450000,"US","US","L"
"2021","EN","FT","Computer Vision Software Engineer","ML Engineer",70000,"US","US","M"
"2021","MI","FT","Computer Vision Software Engineer","ML Engineer",95746,"DE","US","S"
"2021","MI","FT","Data Analyst","Data Analyst",75000,"US","US","L"
"2021","SE","FT","Data Engineer","Data Engineer",150000,"US","US","L"
"2021","MI","FT","BI Data Analyst","BI Analyst",36259,"HU","US","L"
"2021","MI","FT","Data Analyst","Data Analyst",62000,"US","US","L"
"2021","MI","FT","Data Scientist","Data Scientist",73000,"US","US","L"
"2021","MI","FT","Data Analyst","Data Analyst",51519,"GB","GB","L"
"2021","MI","FT","Research Scientist","Research Scientist",187442,"CA","CA","L"
"2021","SE","FT","Data Engineer","Data Engineer",115000,"US","US","S"
"2021","SE","FT","Data Engineer","Data Engineer",150000,"US","US","M"
"2021","EN","FT","Data Engineer","Data Engineer",30428,"IN","IN","L"
"2021","SE","FT","Machine Learning Engineer","ML Engineer",94564,"DE","DE","L"
"2021","SE","FT","Director of Data Engineering","Data Engineer",113476,"GB","GB","M"
"2021","SE","FT","Lead Data Engineer","Data Engineer",103160,"GB","GB","S"
"2021","EN","PT","AI Scientist","AI Engineer",12000,"PK","US","M"
"2021","MI","FT","Data Engineer","Data Engineer",45391,"NL","NL","L"
"2021","EN","FT","Machine Learning Scientist","Research Scientist",225000,"US","US","L"
"2021","MI","FT","Data Scientist","Data Scientist",50000,"NG","NG","L"
"2021","MI","FT","Data Science Engineer","Data Scientist",40189,"GR","GR","M"
"2021","EN","FT","Data Analyst","Data Analyst",90000,"US","US","S"
"2021","MI","FT","Data Engineer","Data Engineer",200000,"US","US","L"
"2021","MI","FT","Big Data Engineer","Big Data Engineer",60000,"ES","RO","M"
"2021","SE","FT","Principal Data Engineer","Data Engineer",200000,"US","US","M"
"2021","EN","FT","Data Analyst","Data Analyst",50000,"US","US","M"
"2021","EN","FT","Applied Data Scientist","Data Scientist",110037,"GB","GB","L"
"2021","EN","PT","Data Analyst","Data Analyst",10354,"ES","ES","M"
"2021","MI","FT","Principal Data Scientist","Data Scientist",151000,"US","US","L"
"2021","SE","FT","Machine Learning Scientist","Research Scientist",120000,"US","US","S"
"2021","MI","FT","Data Scientist","Data Scientist",9466,"IN","IN","S"
"2021","EN","FT","Machine Learning Engineer","ML Engineer",20000,"IN","IN","S"
"2021","SE","FT","Lead Data Scientist","Data Scientist",40570,"IN","IN","L"
"2021","EN","FT","Machine Learning Developer","ML Engineer",100000,"IQ","IQ","S"
"2021","EN","FT","Data Scientist","Data Scientist",49646,"FR","FR","M"
"2021","MI","FT","Applied Machine Learning Scientist","ML Engineer",38400,"VN","US","M"
"2021","SE","FT","Computer Vision Engineer","ML Engineer",24000,"BR","BR","M"
"2021","EN","FT","Data Scientist","Data Scientist",100000,"US","US","S"
"2021","MI","FT","Data Analyst","Data Analyst",90000,"US","US","M"
"2021","MI","FT","ML Engineer","ML Engineer",63711,"JP","JP","S"
"2021","MI","FT","ML Engineer","ML Engineer",77364,"JP","JP","S"
"2021","SE","FT","Principal Data Scientist","Data Scientist",220000,"US","US","L"
"2021","EN","FT","Data Scientist","Data Scientist",80000,"US","US","M"
"2021","MI","FT","Data Analyst","Data Analyst",135000,"US","US","L"
"2021","SE","FT","Data Science Manager","Data Scientist",240000,"US","US","L"
"2021","SE","FT","Data Engineering Manager","Data Engineer",150000,"US","US","L"
"2021","MI","FT","Data Scientist","Data Scientist",82500,"US","US","S"
"2021","MI","FT","Data Engineer","Data Engineer",100000,"US","US","L"
"2021","SE","FT","Machine Learning Engineer","ML Engineer",82744,"BE","BE","M"
"2021","MI","FT","Research Scientist","Research Scientist",62649,"FR","FR","M"
"2021","MI","FT","Data Engineer","Data Engineer",90000,"US","US","L"
"2021","SE","FT","Data Engineering Manager","Data Engineer",153000,"US","US","L"
"2021","SE","FT","Cloud Data Engineer","Data Engineer",160000,"BR","US","S"
"2021","SE","FT","Director of Data Science","Data Scientist",168000,"JP","JP","S"
"2021","MI","FT","Data Scientist","Data Scientist",150000,"US","US","M"
"2021","MI","FT","Data Scientist","Data Scientist",75774,"CA","CA","L"
"2021","EN","FT","Data Scientist","Data Scientist",13400,"UA","UA","L"
"2021","SE","FT","Data Science Manager","Data Scientist",144000,"US","US","L"
"2021","SE","FT","Data Science Engineer","Data Scientist",127221,"CA","CA","L"
"2021","MI","FT","Data Scientist","Data Scientist",119059,"SG","IL","M"
"2021","MI","FT","Applied Machine Learning Scientist","ML Engineer",423000,"US","US","L"
"2021","SE","FT","Data Analytics Manager","Data Analyst",120000,"US","US","M"
"2021","EN","FT","Machine Learning Engineer","ML Engineer",125000,"US","US","S"
"2021","EX","FT","Head of Data","Data Scientist",230000,"RU","RU","L"
"2021","EX","FT","Head of Data Science","Data Scientist",85000,"RU","RU","M"
"2021","MI","FT","Data Engineer","Data Engineer",28369,"MT","MT","L"
"2021","EN","FT","Data Science Consultant","Data Scientist",63831,"DE","DE","L"
"2021","EX","FT","Director of Data Science","Data Scientist",130026,"DE","DE","M"
"2021","SE","FT","Data Specialist","Data Analyst",165000,"US","US","L"
"2021","EN","FT","Data Engineer","Data Engineer",80000,"US","US","L"
"2021","EX","FT","Director of Data Science","Data Scientist",250000,"US","US","L"
"2021","EN","FT","BI Data Analyst","BI Analyst",55000,"US","US","S"
"2021","MI","FT","Data Architect","Data Engineer",150000,"US","US","L"
"2021","MI","FT","Data Architect","Data Engineer",170000,"US","US","L"
"2021","MI","FT","Data Engineer","Data Engineer",82528,"GB","GB","L"
"2021","EN","FT","Data Analyst","Data Analyst",60000,"US","US","S"
"2021","SE","FT","Principal Data Scientist","Data Scientist",235000,"US","US","L"
"2021","SE","FT","Research Scientist","Research Scientist",60757,"PT","PT","L"
"2021","SE","FT","Data Engineering Manager","Data Engineer",174000,"US","US","L"
"2021","MI","FT","Data Scientist","Data Scientist",2859,"MX","MX","S"
"2021","MI","FT","Data Scientist","Data Scientist",40038,"CL","CL","L"
"2021","EN","FT","Machine Learning Engineer","ML Engineer",81000,"US","US","S"
"2021","MI","FT","Data Scientist","Data Scientist",5679,"IN","US","S"
"2021","MI","FT","Big Data Engineer","Big Data Engineer",22611,"IN","IN","L"
"2021","MI","FT","Data Scientist","Data Scientist",90734,"DE","DE","L"
"2021","MI","FT","Data Engineer","Data Engineer",26005,"RO","US","L"
"2021","SE","FT","Finance Data Analyst","Data Analyst",61896,"GB","GB","L"
"2021","MI","FL","Machine Learning Scientist","Research Scientist",12000,"PK","PK","M"
"2021","MI","FT","Data Engineer","Data Engineer",4000,"IR","IR","M"
"2021","SE","FT","Data Analytics Engineer","Data Analyst",50000,"VN","GB","M"
"2021","EX","FT","Data Science Consultant","Data Scientist",69741,"FR","ES","S"
"2021","SE","FT","Data Engineer","Data Engineer",76833,"RO","GB","S"
"2021","MI","FT","Machine Learning Engineer","ML Engineer",74000,"JP","JP","S"
"2021","SE","FT","Data Science Manager","Data Scientist",152000,"US","FR","L"
"2021","EN","FT","Machine Learning Engineer","ML Engineer",21844,"CO","CO","M"
"2021","MI","FT","Big Data Engineer","Big Data Engineer",18000,"MD","MD","S"
"2021","SE","FT","Data Science Manager","Data Scientist",174000,"US","US","L"
"2021","SE","FT","Research Scientist","Research Scientist",96113,"CA","CA","L"
"2021","MI","FT","Data Scientist","Data Scientist",147000,"US","US","L"
"2021","EN","FT","BI Data Analyst","BI Analyst",9272,"KE","KE","S"
"2021","SE","FT","Machine Learning Engineer","ML Engineer",24342,"IN","IN","L"
"2021","SE","FT","Data Science Manager","Data Scientist",54094,"IN","US","L"
"2021","EN","FT","Data Science Consultant","Data Scientist",90000,"US","US","S"
"2021","MI","FT","Data Scientist","Data Scientist",61467,"DE","AT","M"
"2021","SE","FT","Machine Learning Infrastructure Engineer","ML Engineer",195000,"US","US","M"
"2021","MI","FT","Data Scientist","Data Scientist",37825,"ES","ES","L"
"2021","SE","FT","Research Scientist","Research Scientist",50000,"FR","US","S"
"2021","MI","FT","Data Scientist","Data Scientist",160000,"US","US","L"
"2021","MI","FT","Data Scientist","Data Scientist",12901,"BR","BR","S"
"2021","SE","FT","Machine Learning Engineer","ML Engineer",200000,"US","US","L"
"2021","SE","FT","Data Engineer","Data Engineer",165000,"US","US","M"
"2021","MI","FL","Data Engineer","Data Engineer",20000,"IT","US","L"
"2021","SE","FT","Data Analytics Manager","Data Analyst",120000,"US","US","L"
"2021","MI","FT","Machine Learning Engineer","ML Engineer",24823,"SI","SI","L"
"2021","MI","FT","Research Scientist","Research Scientist",56738,"FR","FR","S"
"2021","MI","FT","Data Engineer","Data Engineer",66022,"HK","GB","S"
"2021","EN","FT","Big Data Engineer","Big Data Engineer",5882,"IN","CH","L"
"2021","EN","FT","Machine Learning Engineer","ML Engineer",24823,"DE","DE","M"
"2021","SE","FT","Principal Data Engineer","Data Engineer",185000,"US","US","L"
"2021","EN","PT","Computer Vision Engineer","ML Engineer",28609,"DK","DK","S"
"2021","MI","FT","Machine Learning Engineer","ML Engineer",88654,"BE","BE","M"
"2021","SE","FT","Data Analytics Manager","Data Analyst",140000,"US","US","L"
"2021","MI","FT","Machine Learning Engineer","ML Engineer",46597,"PL","PL","L"
"2021","MI","FT","Data Scientist","Data Scientist",116914,"GB","GB","L"
"2021","MI","FT","Data Scientist","Data Scientist",33808,"IN","IN","M"
"2021","MI","FT","Data Scientist","Data Scientist",56256,"GB","GB","L"
"2021","SE","FT","Machine Learning Scientist","Research Scientist",225000,"US","CA","L"
"2021","EX","CT","Principal Data Scientist","Data Scientist",416000,"US","US","S"
"2021","SE","FT","Data Scientist","Data Scientist",87738,"CA","CA","S"
"2021","MI","FT","Data Scientist","Data Scientist",88654,"DE","DE","L"
"2021","SE","FT","Data Scientist","Data Scientist",135000,"US","US","L"
"2021","SE","FT","Data Analyst","Data Analyst",71786,"CA","CA","M"
"2021","EN","FT","Big Data Engineer","Big Data Engineer",16228,"IN","IN","L"
"2021","SE","FT","ML Engineer","ML Engineer",256000,"US","US","S"
"2021","SE","FT","Director of Data Engineering","Data Engineer",200000,"US","US","L"
"2021","SE","FT","Data Analyst","Data Analyst",200000,"US","US","L"
"2021","MI","FT","Data Architect","Data Engineer",180000,"US","US","L"
"2021","MI","FT","Head of Data Science","Data Scientist",110000,"US","US","S"
"2021","MI","FT","Research Scientist","Research Scientist",63810,"CA","CA","M"
"2021","MI","FT","Data Scientist","Data Scientist",46809,"ES","ES","M"
"2021","EN","FT","Data Scientist","Data Scientist",4000,"VN","VN","M"
"2021","EN","FT","Data Engineer","Data Engineer",21637,"IN","IN","M"
"2021","SE","FT","Data Scientist","Data Scientist",103691,"CA","CA","L"
"2021","MI","FT","Data Analyst","Data Analyst",80000,"US","US","L"
"2021","MI","FT","Data Engineer","Data Engineer",110000,"US","US","L"
"2021","SE","FT","Data Scientist","Data Scientist",165000,"US","US","L"
"2021","EN","FT","AI Scientist","AI Engineer",18053,"IN","AS","S"
"2021","MI","FT","Data Engineer","Data Engineer",72212,"GB","GB","L"
"2021","EN","FT","Data Scientist","Data Scientist",36643,"FR","FR","L"
"2021","MI","FT","Data Engineer","Data Engineer",12103,"TR","TR","M"
"2021","SE","FT","Data Engineer","Data Engineer",96282,"GB","GB","L"
"2021","SE","FT","Principal Data Analyst","Data Analyst",170000,"US","US","M"
"2021","MI","FT","Data Scientist","Data Scientist",115000,"US","US","L"
"2021","EN","FT","Data Scientist","Data Scientist",90000,"US","US","S"
"2021","EX","FT","Principal Data Engineer","Data Engineer",600000,"US","US","L"
"2021","EN","FT","Data Scientist","Data Scientist",28399,"IN","IN","M"
"2021","MI","FT","Data Analyst","Data Analyst",93000,"US","US","L"
"2021","SE","FT","Big Data Architect","Big Data Engineer",99703,"CA","CA","M"
"2021","SE","FT","Principal Data Scientist","Data Scientist",173762,"DE","DE","M"
"2021","SE","FT","Machine Learning Engineer","ML Engineer",185000,"US","US","L"
"2021","EX","FT","Director of Data Science","Data Scientist",141846,"DE","DE","L"
"2021","MI","FT","Data Scientist","Data Scientist",130000,"US","US","L"
"2021","SE","FT","Data Analyst","Data Analyst",63831,"DE","DE","L"
"2021","MI","FT","Data Scientist","Data Scientist",16904,"IN","IN","S"
"2021","SE","FT","Machine Learning Engineer","ML Engineer",66265,"IN","IN","L"
"2021","MI","FT","Data Scientist","Data Scientist",25532,"RS","DE","S"
"2021","SE","FT","Lead Data Engineer","Data Engineer",160000,"PR","US","S"
"2021","MI","FT","Data Engineer","Data Engineer",93150,"US","US","M"
"2021","MI","FT","Data Engineer","Data Engineer",111775,"US","US","M"
"2021","MI","FT","Data Engineer","Data Engineer",28016,"TR","TR","M"
"2021","EN","FT","Data Engineer","Data Engineer",65013,"DE","DE","M"
"2021","EN","FT","Data Engineer","Data Engineer",72500,"US","US","L"
"2021","SE","FT","Computer Vision Engineer","ML Engineer",18907,"BR","BR","M"
"2021","EN","FT","Data Science Consultant","Data Scientist",76833,"DE","DE","L"
"2021","EN","FT","Machine Learning Engineer","ML Engineer",85000,"NL","DE","S"
"2021","SE","FT","Data Scientist","Data Scientist",77684,"FR","FR","M"
"2021","EN","FT","Data Scientist","Data Scientist",100000,"US","US","M"
"2021","EN","FT","Data Scientist","Data Scientist",58000,"US","US","L"
"2021","SE","FT","AI Scientist","AI Engineer",55000,"ES","ES","L"
"2021","SE","FT","Data Scientist","Data Scientist",20171,"TR","TR","L"
"2021","EN","FT","Business Data Analyst","BI Analyst",59102,"LU","LU","L"
"2021","MI","FT","Data Engineer","Data Engineer",112000,"US","US","L"
"2021","EN","FT","Research Scientist","Research Scientist",100000,"JE","CN","L"
"2021","MI","PT","Data Engineer","Data Engineer",69741,"NL","NL","L"
"2021","SE","CT","Staff Data Scientist","Data Scientist",105000,"US","US","M"
"2021","MI","FT","Research Scientist","Research Scientist",69999,"CZ","CZ","L"
"2021","SE","FT","Data Science Manager","Data Scientist",94665,"IN","IN","L"
"2021","SE","FT","Head of Data","Data Scientist",102839,"SI","SI","L"
"2021","MI","FT","Data Scientist","Data Scientist",109000,"US","US","L"
"2021","MI","FT","Machine Learning Engineer","ML Engineer",51064,"IT","IT","L"
"2021","MI","FT","Data Science Lead","Data Scientist",150000,"US","US","M"
"2021","MI","FT","AI Scientist","AI Engineer",30000,"GH","GH","S"
"2021","EN","FT","Marketing Data Engineer","Data Engineer",66970,"SG","SG","L"
"2021","SE","FT","Data Scientist","Data Scientist",54094,"IN","IN","L"
"2021","MI","FT","Data Analyst","Data Analyst",16904,"IN","IN","L"
"2021","SE","FT","Data Analyst","Data Analyst",115000,"US","US","S"
"2021","EN","FT","3D Computer Vision Researcher","Research Scientist",20000,"AS","AS","M"
"2021","MI","FL","Autonomous Vehicle Technician","AI Engineer",45555,"AS","BS","M"
"2021","EN","FT","Power BI Developer","BI Analyst",5409,"IN","IN","L"
"2021","MI","FT","Data Engineer","Data Engineer",75050,"AU","AU","L"
"2021","EN","FT","Data Analyst","Data Analyst",42028,"AU","AU","L"
"2021","EN","FT","Machine Learning Research Engineer","Research Scientist",20000,"FR","FR","M"
"2021","EN","FT","Machine Learning Developer","ML Engineer",15000,"TH","TH","L"
"2021","EN","FT","Data Engineer","Data Engineer",45390,"GB","GB","L"
"2021","EN","PT","Computer Vision Software Engineer","ML Engineer",19073,"DK","DK","L"
"2021","SE","FT","Data Analyst","Data Analyst",50000,"PH","PH","S"
"2021","EN","FT","Machine Learning Research Engineer","Research Scientist",12171,"IN","IN","M"
"2021","SE","FT","Cloud Data Architect","Data Engineer",250000,"US","US","L"
"2021","SE","FT","Data Engineer","Data Engineer",153000,"US","US","L"
"2021","SE","FT","Data Engineer","Data Engineer",113476,"GB","GB","M"
"2021","SE","FT","Data Engineer","Data Engineer",174000,"US","US","L"
"2021","SE","FT","Data Engineer","Data Engineer",200000,"US","US","L"
"2021","EN","FT","Data Science Consultant","Data Scientist",64369,"DE","DE","L"
"2021","SE","FT","Data Science Engineer","Data Scientist",127543,"CA","CA","L"
"2021","SE","FT","Manager Data Science","Data Scientist",144000,"US","US","L"
"2021","MI","FT","Data Scientist","Data Scientist",75966,"CA","CA","L"
"2021","MI","PT","3D Computer Vision Researcher","Research Scientist",5423,"IN","IN","M"
"2021","MI","FT","Applied Data Scientist","Data Scientist",54376,"GB","CA","L"
"2021","MI","FT","Machine Learning Engineer","ML Engineer",47681,"ES","ES","S"
"2021","EX","FT","Director of Data Science","Data Scientist",154963,"IT","PL","L"
"2021","MI","FT","Data Engineer","Data Engineer",28801,"PL","PL","L"
"2021","EN","FT","Research Scientist","Research Scientist",83000,"GB","GB","L"
"2021","EN","FT","Data Analyst","Data Analyst",59601,"FR","FR","M"
"2021","SE","FT","Data Analytics Engineer","Data Analyst",79866,"DE","DE","L"
"2021","SE","FT","Data Scientist","Data Scientist",53641,"FR","FR","L"
"2021","EN","FT","Data Science Consultant","Data Scientist",77481,"DE","DE","S"
"2021","SE","FT","Marketing Data Analyst","Data Analyst",89402,"GR","DK","L"
"2021","SE","FT","Lead Data Engineer","Data Engineer",103750,"GB","GB","S"
"2021","SE","FT","Director of Data Engineering","Data Engineer",114125,"GB","GB","M"
"2021","SE","FT","Machine Learning Engineer","ML Engineer",95362,"DE","DE","L"
"2021","EN","FT","Data Engineer","Data Engineer",30509,"IN","IN","L"
"2021","MI","FT","Research Scientist","Research Scientist",187917,"CA","CA","L"
"2021","MI","FT","Data Analyst","Data Analyst",51814,"GB","GB","L"
"2021","MI","FT","BI Data Analyst","BI Analyst",36732,"HU","US","L"
"2021","MI","FT","Computer Vision Software Engineer","ML Engineer",96554,"DE","US","S"
"2021","MI","FT","Cloud Data Engineer","Data Engineer",89514,"SG","SG","L"
"2021","EN","FT","Data Scientist","Data Scientist",29831,"IN","IN","L"
"2021","EN","FT","Data Scientist","Data Scientist",28475,"IN","IN","M"
"2021","SE","FT","Research Scientist","Research Scientist",61270,"PT","PT","L"
"2021","SE","FT","Data Engineer","Data Engineer",96833,"GB","GB","L"
"2021","MI","FT","Data Engineer","Data Engineer",13105,"TR","TR","M"
"2021","EN","FT","Data Scientist","Data Scientist",36952,"FR","FR","L"
"2021","MI","FT","Data Engineer","Data Engineer",72625,"GB","GB","L"
"2021","SE","FT","Big Data Architect","Big Data Engineer",99956,"CA","CA","M"
"2021","SE","FT","Data Scientist","Data Scientist",103954,"CA","CA","L"
"2021","EN","FT","Data Engineer","Data Engineer",21695,"IN","IN","M"
"2021","MI","FT","Research Scientist","Research Scientist",63971,"CA","CA","M"
"2021","MI","PT","Data Engineer","Data Engineer",70329,"NL","NL","L"
"2021","SE","FT","Data Scientist","Data Scientist",21843,"TR","TR","L"
"2021","SE","FT","Data Scientist","Data Scientist",78340,"FR","FR","M"
"2021","EN","FT","Data Science Consultant","Data Scientist",77481,"DE","DE","L"
"2021","EN","FT","Data Engineer","Data Engineer",65561,"DE","DE","M"
"2021","MI","FT","Data Engineer","Data Engineer",30337,"TR","TR","M"
"2021","MI","FT","Data Scientist","Data Scientist",25747,"RS","DE","S"
"2021","SE","FT","Machine Learning Engineer","ML Engineer",66442,"IN","IN","L"
"2021","MI","FT","Data Scientist","Data Scientist",16949,"IN","IN","S"
"2021","SE","FT","Data Analyst","Data Analyst",64369,"DE","DE","L"
"2021","EX","FT","Director of Data Science","Data Scientist",143043,"DE","DE","L"
"2021","EN","FT","Big Data Engineer","Big Data Engineer",16271,"IN","IN","L"
"2021","SE","FT","Data Analyst","Data Analyst",71968,"CA","CA","M"
"2021","EN","FT","Machine Learning Engineer","ML Engineer",25032,"DE","DE","M"
